AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,18,5,4,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,19,5,2,3,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,20,3,3,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,21,9,5,4,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,22,15,10,5,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,23,8,3,5,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,24,7,5,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,25,10,6,4,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,26,11,5,6,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,27,3,1,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,28,3,3,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,29,2,1,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,30,4,1,3,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,31,5,1,4,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,32,4,2,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,33,5,3,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,34,7,7,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,35,4,2,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,36,6,3,3,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,37,4,2,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,38,1,1,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,39,1,0,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,40,4,4,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,41,1,0,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,42,3,3,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,43,3,2,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,44,7,6,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,45,6,5,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,46,7,6,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,47,7,7,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,48,14,13,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,49,8,5,3,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,50,6,4,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,51,11,10,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,52,7,6,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,53,5,4,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,54,2,2,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,55,6,4,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,56,2,2,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,57,2,2,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,58,5,5,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,59,1,1,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,60,1,1,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,61,2,2,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,62,3,2,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,63,2,2,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,65,2,2,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,66,2,2,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,67,2,2,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,70,1,1,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,71,1,0,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,72,2,1,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,73,3,1,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,76,3,2,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,77,1,1,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,0,81,1,0,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,18,6,6,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,19,6,5,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,20,9,8,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,21,11,6,5,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,22,13,7,6,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,23,9,8,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,24,11,8,3,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,25,11,8,3,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,26,5,4,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,27,4,3,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,28,6,3,3,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,29,4,2,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,30,4,4,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,31,5,5,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,32,4,0,4,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,33,3,3,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,34,5,5,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,35,3,2,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,36,2,2,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,37,5,4,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,38,8,5,3,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,39,11,10,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,40,5,5,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,41,6,5,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,42,5,3,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,43,3,3,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,44,6,6,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,45,11,10,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,46,8,6,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,47,7,6,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,48,8,7,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,49,9,9,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,50,11,9,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,51,11,9,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,52,6,4,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,53,5,5,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,54,6,5,1,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,55,6,6,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,56,5,3,2,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,57,5,5,0,0
2009,5/7/2009,4,CAMPECHE,1,Campeche,1,U,1,7,1,58,2,2,0,0
