AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,18,4,1,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,19,5,1,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,20,6,3,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,21,7,3,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,22,10,4,6,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,23,8,3,5,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,24,12,7,5,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,25,5,0,5,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,26,8,4,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,27,5,4,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,28,9,3,6,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,29,11,5,6,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,30,9,7,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,31,5,1,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,32,13,7,6,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,33,6,3,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,34,8,4,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,35,9,5,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,36,5,2,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,37,5,3,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,38,2,1,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,39,7,3,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,40,4,2,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,41,6,5,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,42,8,3,5,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,43,4,3,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,44,5,4,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,45,9,4,5,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,46,7,5,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,47,5,4,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,48,9,8,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,49,15,11,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,50,5,2,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,51,6,4,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,52,10,7,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,53,9,7,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,54,6,6,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,55,8,5,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,56,5,4,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,57,5,4,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,58,4,2,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,59,6,3,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,60,3,3,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,61,5,2,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,62,5,2,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,63,2,2,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,64,2,1,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,65,1,1,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,66,2,2,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,67,3,1,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,69,2,1,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,70,3,3,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,71,4,1,3,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,72,6,4,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,73,4,2,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,74,4,4,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,75,4,3,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,76,3,1,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,78,5,5,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,79,3,1,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,82,2,2,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,83,1,1,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,84,1,0,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,87,1,1,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,90,1,0,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,92,2,0,2,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,93,1,0,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,95,1,0,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,96,1,0,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,97,1,0,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,99,1,0,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,103,1,0,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,18,4,4,0,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,19,8,4,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,20,9,5,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,21,7,6,1,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,22,4,0,4,0
2015,7/6/2015,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,23,11,5,6,0
