AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,18,44,37,7,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,19,60,48,12,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,20,50,33,17,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,21,66,43,23,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,22,65,41,24,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,23,58,26,32,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,24,56,35,21,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,25,61,27,34,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,26,59,22,37,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,27,57,30,27,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,28,51,22,29,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,29,54,22,32,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,30,53,25,28,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,31,50,25,25,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,32,62,27,35,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,33,65,29,36,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,34,41,23,18,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,35,50,28,22,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,36,41,25,16,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,37,33,20,13,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,38,40,23,17,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,39,39,28,11,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,40,39,21,18,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,41,40,24,16,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,42,25,10,15,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,43,44,24,20,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,44,42,26,16,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,45,44,30,14,0
2021,6/6/2021,6,COLIMA,1,Colima,1,U,1,6,0,46,51,38,13,0
